"FUND TYPE","FUND CODE","FUND DESCRIPTION","DEPARTMENT NUMBER","DEPARTMENT DESCRIPTION","APPROPRIATION AUTHORITY","APPROPRIATION AUTHORITY DESCRIPTION","APPROPRIATION ACCOUNT","APPROPRIATION ACCOUNT DESCRIPTION","2025 ORDINANCE (AMOUNT $)"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0005","Salaries and Wages - on Payroll","$10,692,655.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0039","For the Employment of Students as Trainees","$260,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0126","Office Conveniences","$3,200.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0130","Postage","$1,600.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$16,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0149","For Software Maintenance and Licensing","$3,400.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0157","Rental of Equipment and Services","$1,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0159","Lease Purchase Agreements for Equipment and Machinery","$31,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0162","Repair/Maintenance of Equipment","$1,500.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0166","Dues, Subscriptions and Memberships","$248,023.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0169","Technical Meeting Costs","$6,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0245","Reimbursement to Travelers","$48,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0350","Stationery and Office Supplies","$10,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","9121","For Payment of Costs Associated with Lobbyist Activities on Behalf of the City of Chicago","$200,000.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","1","Office of the Mayor","2005","Office of the Mayor","0005","Salaries and Wages - on Payroll","$457,161.00"
"LOCAL","0B21","Tax Increment Financing Administration Fund","1","Office of the Mayor","2005","Office of the Mayor","0005","Salaries and Wages - on Payroll","$121,266.00"
"LOCAL","0B70","Cannabis Regulation Tax","1","Office of the Mayor","2005","Office of the Mayor","0005","Salaries and Wages - on Payroll","$387,849.00"
"LOCAL","0B70","Cannabis Regulation Tax","1","Office of the Mayor","2005","Office of the Mayor","9102","Special Programs Costs","$3,800,000.00"
"LOCAL","0B70","Cannabis Regulation Tax","1","Office of the Mayor","2005","Office of the Mayor","929B","Restoration Committee","$500,000.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0005","Salaries and Wages - on Payroll","$8,289,658.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0015","Schedule Salary Adjustments","$187,555.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0020","Overtime","$1,500.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0130","Postage","$1,635.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0138","For Professional Services for Information Technology Maintenance","$15,296.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$339,348.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0143","Court Reporting","$52,500.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0149","For Software Maintenance and Licensing","$600,406.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0150","Publications and Reproduction - Outside Services.  To be Expended with the Prior Approval of Graphics Services","$4,750.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0152","Advertising","$5,000.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0157","Rental of Equipment and Services","$63,125.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0159","Lease Purchase Agreements for Equipment and Machinery","$129,501.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0162","Repair/Maintenance of Equipment","$1,000.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0166","Dues, Subscriptions and Memberships","$20,618.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0169","Technical Meeting Costs","$192,864.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0181","Mobile Communication Services","$22,777.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0189","Telephone - Non-Centrex Billings","$82,440.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0245","Reimbursement to Travelers","$26,496.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0270","Local Transportation","$23,510.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0320","Gasoline","$2,533.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0340","Material and Supplies","$3,001.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0348","Books and Related Material","$1,500.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0350","Stationery and Office Supplies","$19,629.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0446","For the Purchase of IT and Data Communication Hardware","$88,477.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0700","Contingencies","$97,060.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","9438","For Services Provided by the Department of Fleet and Facilities Management","$2,000.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0005","Salaries and Wages - on Payroll","$1,284,308.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0015","Schedule Salary Adjustments","$25,395.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0130","Postage","$222.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$1,240.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0143","Court Reporting","$9,808.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0149","For Software Maintenance and Licensing","$44,232.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0157","Rental of Equipment and Services","$9,456.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0159","Lease Purchase Agreements for Equipment and Machinery","$1,295.00"
